Autor,Data_traducao,Versao_Uniclass,_id,code_item,descricao_SECClasS,especialidade,keywords,nivel_item,review,title_item,titulo_SECClasS,versao_secclas
SECClasS,2021-06-25T00:00:00.000Z,1.12,6151e818cf055d44dd0787a1,Co_20,,Genérico,,1,false,"Administrative, commercial and protective service complexes","Complexos de serviços administrativos, comerciais e de segurança",1
SECClasS,2021-06-24T23:59:00.000Z,1.12,6151e818cf055d44dd0787a2,Co_20_10,,Genérico,,2,false,Legislative complexes,Complexos legislativos,1
SECClasS,2021-06-24T23:58:00.000Z,1.12,6151e818cf055d44dd0787a3,Co_20_10_60,,Genérico,,3,false,Governmental complexes,Complexos governamentais,1
SECClasS,2021-06-24T23:57:00.000Z,1.12,6151e818cf055d44dd0787a4,Co_20_15,,Genérico,,2,false,Administrative complexes,Complexos administrativos,1
SECClasS,2021-06-24T23:56:00.000Z,1.12,6151e818cf055d44dd0787a5,Co_20_15_08,,Genérico,,3,false,Business parks,Parques empresariais,1
SECClasS,2021-06-24T23:55:00.000Z,1.12,6151e818cf055d44dd0787a6,Co_20_15_58,,Genérico,,3,false,Office complexes,Complexos de escritórios,1
SECClasS,2021-06-24T23:54:00.000Z,1.12,6151e818cf055d44dd0787a7,Co_20_20,,Genérico,,2,false,Secular representative complexes,Complexos de administração pública,1
SECClasS,2021-06-24T23:53:00.000Z,1.12,6151e818cf055d44dd0787a8,Co_20_20_15,,Genérico,,3,false,Complexes for representatives of nation states abroad,Complexos de representação de estados no estrangeiro ,1
SECClasS,2021-06-24T23:52:00.000Z,1.12,6151e818cf055d44dd0787a9,Co_20_20_40,,Genérico,,3,false,Local government complexes,Complexos governamentais locais,1
SECClasS,2021-06-24T23:51:00.000Z,1.12,6151e818cf055d44dd0787aa,Co_20_20_50,,Genérico,,3,false,National government complexes,Complexos governamentais nacionais,1
SECClasS,2021-06-24T23:50:00.000Z,1.12,6151e818cf055d44dd0787ab,Co_20_20_70,,Genérico,,3,false,Regional government complexes,Complexos governamentais regionais,1
SECClasS,2021-06-24T23:49:00.000Z,1.12,6151e818cf055d44dd0787ac,Co_20_45,,Genérico,,2,false,Motor vehicle maintenance and fuelling complexes,Complexos de manutenção e abastecimento de veículos motorizados,1
SECClasS,2021-06-24T23:48:00.000Z,1.12,6151e818cf055d44dd0787ad,Co_20_45_50,,Genérico,,3,false,Motor vehicle fuelling and charging stations,Complexos de abastecimento e carregamento de veículos motorizados ,1
SECClasS,2021-06-24T23:47:00.000Z,1.12,6151e818cf055d44dd0787ae,Co_20_45_54,,Genérico,,3,false,Motor vehicle servicing complexes,Complexos de reparação de veículos motorizados,1
SECClasS,2021-06-24T23:46:00.000Z,1.12,6151e818cf055d44dd0787af,Co_20_50,,Genérico,,2,false,Commercial complexes,Complexos comerciais,1
SECClasS,2021-06-24T23:45:00.000Z,1.12,6151e818cf055d44dd0787b0,Co_20_50_05,,Genérico,,3,false,Auction complexes,Complexos de leiloeiras,1
SECClasS,2021-06-24T23:44:00.000Z,1.12,6151e818cf055d44dd0787b1,Co_20_50_50,,Genérico,,3,false,Market complexes,Complexos de mercados,1
SECClasS,2021-06-24T23:43:00.000Z,1.12,6151e818cf055d44dd0787b2,Co_20_50_53,,Genérico,,3,false,Mixed use complexes,Complexos de utilização mista,1
SECClasS,2021-06-24T23:42:00.000Z,1.12,6151e818cf055d44dd0787b3,Co_20_50_60,,Genérico,,3,false,Parade of shops,Conjuntos de lojas de comércio local,1
SECClasS,2021-06-24T23:41:00.000Z,1.12,6151e818cf055d44dd0787b4,Co_20_50_71,,Genérico,,3,false,Retail parks,Parques de retalho,1
SECClasS,2021-06-24T23:40:00.000Z,1.12,6151e818cf055d44dd0787b5,Co_20_50_78,,Genérico,,3,false,Shopping complexes,Centros comerciais,1
SECClasS,2021-06-24T23:39:00.000Z,1.12,6151e818cf055d44dd0787b6,Co_20_50_94,,Genérico,,3,false,Vehicle sales complexes,Complexos de venda de veículos,1
SECClasS,2021-06-24T23:38:00.000Z,1.12,6151e818cf055d44dd0787b7,Co_20_55,,Genérico,,2,false,Postal complexes,Complexos postais,1
SECClasS,2021-06-24T23:37:00.000Z,1.12,6151e818cf055d44dd0787b8,Co_20_55_10,,Genérico,,3,false,Postal communications complexes,Complexos de comunicações postais,1
SECClasS,2021-06-24T23:36:00.000Z,1.12,6151e818cf055d44dd0787b9,Co_20_60,,Genérico,,2,false,Military complexes,Complexos militares,1
SECClasS,2021-06-24T23:35:00.000Z,1.12,6151e818cf055d44dd0787ba,Co_20_60_02,,Genérico,,3,false,Air force complexes,Complexos da Força Aérea,1
SECClasS,2021-06-24T23:34:00.000Z,1.12,6151e818cf055d44dd0787bb,Co_20_60_10,,Genérico,,3,false,Army complexes,Complexos do exército,1
SECClasS,2021-06-24T23:33:00.000Z,1.12,6151e818cf055d44dd0787bc,Co_20_60_56,,Genérico,,3,false,Navy complexes,Complexos da marinha,1
SECClasS,2021-06-24T23:32:00.000Z,1.12,6151e818cf055d44dd0787bd,Co_20_65,,Genérico,,2,false,Law enforcement complexes,Complexos de forças de segurança pública,1
SECClasS,2021-06-24T23:31:00.000Z,1.12,6151e818cf055d44dd0787be,Co_20_65_56,,Genérico,,3,false,Law enforcement agency complexes,Complexos de agências de segurança pública,1
SECClasS,2021-06-24T23:30:00.000Z,1.12,6151e818cf055d44dd0787bf,Co_20_70,,Genérico,,2,false,Judicial complexes,Complexos judiciais,1
SECClasS,2021-06-24T23:29:00.000Z,1.12,6151e818cf055d44dd0787c0,Co_20_70_18,,Genérico,,3,false,Court complexes,Complexos de tribunais,1
